[2023-05-04 15:01:23,244][rospy.internal][INFO] - topic[/rosout] adding connection to [/rosout], count 0
[2023-05-04 15:01:26,255][rosout][INFO] - img_sub has been created
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/image] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/camera_info] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:35,131][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,189][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,233][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,282][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,332][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,382][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,432][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,482][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,533][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,585][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,632][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,682][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,732][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,782][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:35,818][rospy.core][INFO] - signal_shutdown [signal-2]
[2023-05-04 15:01:35,823][rospy.internal][INFO] - topic[/rosout] removing connection to /rosout
[2023-05-04 15:01:35,824][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/camera_info] removing connection to http://carla2:37229/
[2023-05-04 15:01:35,825][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/image] removing connection to http://carla2:37229/
[2023-05-04 15:01:35,825][rospy.impl.masterslave][INFO] - signal-2
[2023-05-04 15:01:36,422][rospy.core][INFO] - signal_shutdown [atexit]
